id,source,text_preview,entities,predicted_score,predicted_tier,expected_tier
synthetic_00510,corpus,"PROGRESS NOTE

Patient: Christina Reese
DOB: 11/21/1940
MRN: MRN-2538535
SSN: 73","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
7cdae136,template_adversarial,here's my ssn ****80904,"{""ssn"": 1}",8.1,Minimal,
synthetic_00149,corpus,"CONSULTATION NOTE

Date: 12/07/2025
Consultant: Dr. Patrick Williams
Referring P","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
a0d8552a,claude,Our supplier requests payment to the following account: GB29NWBK60161331926819. ,"{""bank_account"": 1}",6.3,Minimal,
6c237d28,claude_adversarial,Investigating potential fraud with license 234567890 and passport XY76 54321.,"{""drivers_license"": 1, ""passport"": 1}",14.4,Low,
synthetic_00810,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Joshua","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00521,corpus,"CONSULTATION NOTE

Date: 12/04/2025
Consultant: Dr. Lauren Richardson
Referring ","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
944d71df,claude,Please update your support profile with license W2345678.,"{""drivers_license"": 1}",6.3,Minimal,
032eaaec,claude,"Hi team, I'm sending over Michael Rodriguez's onboarding documents. His SSN is 4","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
0a7414c7,negative_near_miss,Invoice #INV-470-61-7069,{},0.0,Minimal,
synthetic_00507,corpus,"PROGRESS NOTE

Patient: Bradley Wood
DOB: 11/27/1947
MRN: MRN-6034918
SSN: 694-5","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00261,corpus,"PROGRESS NOTE

Patient: Michael Washington
DOB: 12/15/1970
MRN: MRN-3483929
SSN:","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00458,corpus,"REFERRAL LETTER

Date: 12/11/2025

To: Dr. Andrew Taylor
Anthonystad Specialty C","{""full_name"": 1, ""date_of_birth"": 1, ""phone"": 1}",13.5,Low,
7232bde6,template,"Account holder: Edwards, Jeff
Account: 093079685909
SSN: 439.90.5012
Address: 40","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1, ""physical_address"": 1}",51.5,Medium,
synthetic_00829,corpus,"PROGRESS NOTE

Patient: Patricia Wood
DOB: 06/03/1951
MRN: MRN-3295382
SSN: 429-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
cd247636,claude,"University Enrollment - SSN: 345-67-8901, Born: March 22, 1985","{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
synthetic_00352,corpus,"PROGRESS NOTE

Patient: Joseph Carter
DOB: 08/29/1981
MRN: MRN-5659980
SSN: 137-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00486,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Karla ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00603,corpus,"CONSULTATION NOTE

Date: 12/08/2025
Consultant: Dr. Breanna Williams
Referring P","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
2765f998,claude,Government Services Form - License: CA5432109 Passport: D67890123,"{""drivers_license"": 1, ""passport"": 1}",14.4,Low,
3438b46c,claude,The customer's license CA23456 needs to be verified for account access.,"{""drivers_license"": 1}",6.3,Minimal,
37b1e6d2,claude,Urgent procurement request: contact karen_thompson55@corporate.org or 206.555.23,"{""email"": 1, ""phone"": 1}",7.2,Minimal,
e29d7a97,claude,Request for license replacement: Current license B1234567 was damaged in transit,"{""drivers_license"": 1}",6.3,Minimal,
synthetic_00842,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Jason ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00546,corpus,"PROGRESS NOTE

Patient: Christopher Nash
DOB: 01/19/1982
MRN: MRN-9907637
SSN: 8","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
17abedf4,claude,"HR contact William Chen: reachable at (425) 555-1122, works from 789 Tech Park D","{""phone"": 1, ""physical_address"": 1, ""email"": 1}",11.7,Low,
72e788bc,template_adversarial,"Account holder: M itchell
Account: 2223 1059274523
SSN: 576.91. 0569
Address: 57","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1, ""physical_address"": 1}",51.5,Medium,
bc61a429,claude,"Insurance claim for Thomas Edward Baker, social security 456 78 9012, birth 1991","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
c5df6f3b,claude_adversarial,"University Enrollment: Thompson, David Michael SSN: 345/67/8901","{""full_name"": 1, ""ssn"": 1}",12.6,Low,
synthetic_00143,corpus,"PROGRESS NOTE

Patient: Casey Gutierrez
DOB: 01/25/1986
MRN: MRN-9594877
SSN: 30","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00214,corpus,"PROGRESS NOTE

Patient: Alexandra Davis
DOB: 07/21/1942
MRN: MRN-8481668
SSN: 36","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00043,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Alyssa","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
855f82a7,claude,"Academic Transcript for Thomas James Baker, SSN: 901234567, Date of Birth: Febru","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
25589451,claude_adversarial,Medical history document listing patient identifier 345678901 with birthdate sEP,"{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
f449bb33,claude,"Payment Info: Card 4532 0151 1283 0366, IBAN DE89370400440532013000","{""credit_card"": 1, ""bank_account"": 1}",14.4,Low,
d8db1f48,template,Mobile: +1 357 845 2182,"{""phone"": 1}",3.6,Minimal,
2b6c7b74,claude_adversarial,"Emergency contact for Sarah Williams: eMERgEncY.coNTACt@faMilYNetWOrk.oRG, Phone","{""email"": 1, ""phone"": 1, ""physical_address"": 1}",11.7,Low,
06c94b67,claude,"Account verification for Rodriguez, Jennifer Anne. SSN 345 67 8901, born 1988-04","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
synthetic_00026,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Adrian","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00002,corpus,"PROGRESS NOTE

Patient: Melinda Jones
DOB: 04/27/1981
MRN: MRN-9961380
SSN: 747-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
3e46fde9,claude,Resolving transaction issue for account 67854321 with IBAN GB29NWBK6016133192681,"{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
synthetic_00883,corpus,"PROGRESS NOTE

Patient: Brent Manning
DOB: 07/06/1983
MRN: MRN-8904836
SSN: 293-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
55053a74,claude,Debugging connection on 216.58.217.78 and tracking vehicle 1HGBH41JXMN109186,"{""ip_address"": 1}",2.7,Minimal,
synthetic_00116,corpus,"PROGRESS NOTE

Patient: Casey Parker
DOB: 03/24/1985
MRN: MRN-3136551
SSN: 182-9","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
973b631e,negative_numbers_context,Estimated delivery: 8 business days.,{},0.0,Minimal,
cbed236f,claude,"Insurance enrollment for Elizabeth Anne Parker. SSN 987 65 4321, Born 05/18/1995","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
a5101e1f,claude,"Research grant application submitted by Anderson, Christopher highlights innovat","{""full_name"": 1}",4.5,Minimal,
f866f9f3,claude,Following up on the conference registration payment. We'll charge the provided c,"{""credit_card"": 1}",8.1,Minimal,
0618adef,ai4privacy,"Computer safety training on phishing, login at IP 247.17.113.191 at 19. Use Mozi","{""ip_address"": 1}",2.7,Minimal,
9dab2196,ai4privacy_adversarial,"Mother Μckennα Ρarkеr Runοlfѕdottir (DOB: Seрtember 9, і961, SSN: 723 62 3462) i","{""full_name"": 5, ""date_of_birth"": 1, ""ssn"": 1, ""physical_address"": 1, ""bank_account"": 1}",79.3,High,
a2a1b6a8,negative_format_matching,FedEx: 0928-2616-4170,{},0.0,Minimal,
07edf79a,claude,Ticket #2345: Verify identity for Sarah Miller. Social security 234567890 with b,"{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
synthetic_00913,corpus,"CONSULTATION NOTE

Date: 12/01/2025
Consultant: Dr. Ashley Bell
Referring Physic","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00773,corpus,"CONSULTATION NOTE

Date: 12/18/2025
Consultant: Dr. Brittany Price
Referring Phy","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
82811030,claude,"Visa Application - License Number 456789123, Passport: AB2345678","{""drivers_license"": 1, ""passport"": 1}",14.4,Low,
synthetic_00073,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Pamela","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
404e35d2,claude,"Network Device Configuration
MAC Address: 00-1A-2B-3C-4D-5E
Support URL: https:/",{},0.0,Minimal,
dd5a0b2e,claude_adversarial,"Send report to jessica.brown@​outlook.com, mailing address: 987 Magno​lia Drive.","{""email"": 1, ""physical_address"": 1, ""phone"": 1}",11.7,Low,
synthetic_00444,corpus,"CONSULTATION NOTE

Date: 12/04/2025
Consultant: Dr. Mary Sullivan
Referring Phys","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00496,corpus,"PROGRESS NOTE

Patient: Michelle Jones
DOB: 10/30/1949
MRN: MRN-4468470
SSN: 585","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
2289a230,claude_adversarial,"Academic Transcript for willIAMs, chRiSTopheR, DOB 07/14/1995, Student ID with S","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1}",18.0,Low,
synthetic_00929,corpus,"CONSULTATION NOTE

Date: 12/03/2025
Consultant: Dr. Courtney Ramirez
Referring P","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
9b8ac66e,claude_adversarial,New employee record for David Christopher Smith. SSN 901/23/4567. Date of birth:,"{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
synthetic_00724,corpus,"PROGRESS NOTE

Patient: Michael Gutierrez
DOB: 07/18/1959
MRN: MRN-3213110
SSN: ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
13c7d825,claude_adversarial,Background Check Form - SSN: 890 ​56 7234,"{""ssn"": 1}",8.1,Minimal,
synthetic_00544,corpus,"CONSULTATION NOTE

Date: 12/14/2025
Consultant: Dr. Jacqueline Warner
Referring ","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00836,corpus,"REFERRAL LETTER

Date: 12/11/2025

To: Dr. Jared Carter
East Jennifershire Speci","{""full_name"": 1, ""date_of_birth"": 1, ""phone"": 1}",13.5,Low,
synthetic_00517,corpus,"PROGRESS NOTE

Patient: Mark Murphy
DOB: 03/07/1995
MRN: MRN-9095897
SSN: 576-19","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00630,corpus,"CONSULTATION NOTE

Date: 12/06/2025
Consultant: Dr. Kristi White
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
815b0a78,template,"Account holder: Mitchell
Account: 22231059274523
SSN: 576.91.0569
Address: 57828","{""full_name"": 1, ""bank_account"": 1, ""ssn"": 1, ""physical_address"": 1}",51.5,Medium,
